crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	57.764297	1727	0.000000
281474976710655.000000	106.223999	1728	0.000000
281474976710655.000000	Inf	1729	0.000000
281474976710655.000000	98.304733	1730	0.000000
281474976710655.000000	75.979584	1731	0.000000
281474976710655.000000	80.856674	1732	0.000000
281474976710655.000000	50.015251	1733	0.000000
281474976710655.000000	48.740421	1734	0.000000
281474976710655.000000	61.309372	1735	0.000000
281474976710655.000000	56.083958	1736	0.000000
281474976710655.000000	48.351593	1737	0.000000
281474976710655.000000	45.130196	1738	0.000000
281474976710655.000000	40.603523	1739	0.000000
281474976710655.000000	36.036736	1740	0.000000
281474976710655.000000	37.504261	1741	0.000000
281474976710655.000000	27.709665	1742	0.000000
281474976710655.000000	28.058727	1743	0.000000
281474976710655.000000	26.875446	1744	0.000000
281474976710655.000000	25.516676	1745	0.000000
281474976710655.000000	20.120094	1746	0.000000
281474976710655.000000	19.527939	1747	0.000000
281474976710655.000000	17.936958	1748	0.000000
281474976710655.000000	15.778346	1749	0.000000
281474976710655.000000	14.392329	1750	0.000000
281474976710655.000000	13.558872	1751	0.000000
281474976710655.000000	12.320433	1752	0.000000
281474976710655.000000	11.608673	1753	0.000000
281474976710655.000000	10.366458	1754	0.000000
281474976710655.000000	8.945488	1755	0.000000
281474976710655.000000	8.381403	1756	0.000000
281474976710655.000000	7.428470	1757	0.000000
281474976710655.000000	6.873402	1758	0.000000
281474976710655.000000	6.046491	1759	0.000000
281474976710655.000000	5.549396	1760	0.000000
281474976710655.000000	5.008723	1761	0.000000
281474976710655.000000	4.516933	1762	0.000000
281474976710655.000000	4.232986	1763	0.000000
281474976710655.000000	3.627959	1764	0.000000
281474976710655.000000	3.397009	1765	0.000000
281474976710655.000000	3.046229	1766	0.000000
281474976710655.000000	2.756407	1767	0.000000
281474976710655.000000	2.444232	1768	0.000000
281474976710655.000000	2.199573	1769	0.000000
281474976710655.000000	1.965528	1770	0.000000
281474976710655.000000	1.757893	1771	0.000000
281474976710655.000000	1.643247	1772	0.000000
281474976710655.000000	1.422278	1773	0.000000
281474976710655.000000	0.876872	1774	0.000000
